block,timestamp,time_utc,user_tx_count,user_gas_used,l1_data_gas,reverted_gas,reverted_tx_count
54382000,1788536721,2026-09-04T15:45:21Z,7,1533972,0,0,0
54394000,1788537935,2026-09-04T16:05:35Z,32,8285886,0,610282,4
54406000,1788539148,2026-09-04T16:25:48Z,6,2459262,0,0,0
54418000,1788540362,2026-09-04T16:46:02Z,17,4959964,176,0,0
54430000,1788541578,2026-09-04T17:06:18Z,8,2156487,0,0,0
54442000,1788542792,2026-09-04T17:26:32Z,22,6309446,0,342145,3
54454000,1788544003,2026-09-04T17:46:43Z,15,5303061,0,59508,1
54466000,1788545220,2026-09-04T18:07:00Z,16,4295230,0,659645,2
54478000,1788546438,2026-09-04T18:27:18Z,8,2831552,3507,0,0
54490000,1788547656,2026-09-04T18:47:36Z,29,13812690,0,0,0
54502000,1788548871,2026-09-04T19:07:51Z,16,5320758,0,0,0
54514000,1788550085,2026-09-04T19:28:05Z,11,3427195,0,0,0
54526000,1788551294,2026-09-04T19:48:14Z,10,1687615,0,0,0
54538000,1788552506,2026-09-04T20:08:26Z,27,9514865,13295,254663,4
54550000,1788553719,2026-09-04T20:28:39Z,13,4077521,0,0,0
54562000,1788554932,2026-09-04T20:48:52Z,12,4663115,0,0,0
54574000,1788556145,2026-09-04T21:09:05Z,15,4404293,0,0,0
54586000,1788557358,2026-09-04T21:29:18Z,15,4839162,0,686991,3
54598000,1788558569,2026-09-04T21:49:29Z,1,0,0,0,0
54610000,1788559782,2026-09-04T22:09:42Z,12,5033335,0,51265,1
54622000,1788560997,2026-09-04T22:29:57Z,19,8421282,5965,470809,1
54634000,1788562208,2026-09-04T22:50:08Z,20,7256449,0,0,0
54646000,1788563419,2026-09-04T23:10:19Z,27,6046701,0,292896,6
54658000,1788564632,2026-09-04T23:30:32Z,37,10581199,0,1033886,7
54670000,1788565843,2026-09-04T23:50:43Z,19,7740264,0,0,0
54682000,1788567049,2026-09-05T00:10:49Z,5,1738356,0,0,0
54694000,1788568260,2026-09-05T00:31:00Z,10,2032473,0,37208,1
54706000,1788569470,2026-09-05T00:51:10Z,19,2144839,0,375222,8
54718000,1788570680,2026-09-05T01:11:20Z,13,13039206,0,0,0
54730000,1788571893,2026-09-05T01:31:33Z,24,5839966,0,0,0
54742000,1788573103,2026-09-05T01:51:43Z,18,4227462,0,702744,7
54754000,1788574313,2026-09-05T02:11:53Z,21,8866212,0,412329,5
54766000,1788575520,2026-09-05T02:32:00Z,7,1353888,0,0,0
54778000,1788576730,2026-09-05T02:52:10Z,7,3150619,0,0,0
54790000,1788577940,2026-09-05T03:12:20Z,11,3116152,0,0,0
54802000,1788579151,2026-09-05T03:32:31Z,8,6085599,0,0,0
54814000,1788580360,2026-09-05T03:52:40Z,16,3611301,0,74863,2
54826000,1788581572,2026-09-05T04:12:52Z,10,1732233,0,61356,1
54838000,1788582780,2026-09-05T04:33:00Z,13,3203232,0,0,0
54850000,1788583989,2026-09-05T04:53:09Z,5,1744450,0,0,0
54862000,1788585200,2026-09-05T05:13:20Z,8,2387654,0,0,0
54874000,1788586410,2026-09-05T05:33:30Z,9,3185639,0,0,0
54886000,1788587620,2026-09-05T05:53:40Z,18,4304226,0,0,0
54898000,1788588830,2026-09-05T06:13:50Z,18,2291274,0,0,0
54910000,1788590037,2026-09-05T06:33:57Z,8,3055391,0,0,0
54922000,1788591244,2026-09-05T06:54:04Z,7,1103185,0,0,0
54934000,1788592456,2026-09-05T07:14:16Z,11,2762440,0,0,0
54946000,1788593667,2026-09-05T07:34:27Z,13,1723304,0,0,0
54958000,1788594878,2026-09-05T07:54:38Z,27,8632118,0,1425994,9
54970000,1788596088,2026-09-05T08:14:48Z,10,2125423,0,0,0
54982000,1788597298,2026-09-05T08:34:58Z,4,658328,0,0,0
54994000,1788598504,2026-09-05T08:55:04Z,20,3133178,0,457560,6
55006000,1788599714,2026-09-05T09:15:14Z,9,2783253,0,236550,1
55018000,1788600926,2026-09-05T09:35:26Z,5,1198990,0,0,0
55030000,1788602137,2026-09-05T09:55:37Z,8,1896873,0,0,0
55042000,1788603347,2026-09-05T10:15:47Z,7,1246866,0,0,0
55054000,1788604558,2026-09-05T10:35:58Z,8,5749446,0,0,0
55066000,1788605770,2026-09-05T10:56:10Z,10,4649976,0,0,0
55078000,1788606978,2026-09-05T11:16:18Z,11,1960958,0,0,0
55090000,1788608189,2026-09-05T11:36:29Z,4,1443107,0,0,0
55102000,1788609400,2026-09-05T11:56:40Z,3,833283,0,0,0
55114000,1788610610,2026-09-05T12:16:50Z,17,3930457,0,0,0
55126000,1788611819,2026-09-05T12:36:59Z,6,774688,0,0,0
55138000,1788613030,2026-09-05T12:57:10Z,9,1212415,0,0,0
55150000,1788614239,2026-09-05T13:17:19Z,10,2489280,0,0,0
55162000,1788615446,2026-09-05T13:37:26Z,26,4195885,0,267333,10
55174000,1788616655,2026-09-05T13:57:35Z,18,2747372,0,388774,6
55186000,1788617865,2026-09-05T14:17:45Z,14,8587555,0,0,0
55198000,1788619074,2026-09-05T14:37:54Z,7,4631845,0,0,0
55210000,1788620283,2026-09-05T14:58:03Z,6,3800215,0,25044,1
55222000,1788621494,2026-09-05T15:18:14Z,32,6241587,0,1926691,14
55234000,1788622704,2026-09-05T15:38:24Z,0,0,0,0,0
55246000,1788623914,2026-09-05T15:58:34Z,36,11801710,0,554283,2
55258000,1788625125,2026-09-05T16:18:45Z,30,9660884,0,0,0
55270000,1788626336,2026-09-05T16:38:56Z,13,11323182,0,0,0
55282000,1788627548,2026-09-05T16:59:08Z,8,1475658,4383,0,0
