l1_timestamp,l1_time_utc,posting_delay_newest_s,selector
1788742835,2026-09-07T01:00:35Z,30,0x3e5aa082
1788744035,2026-09-07T01:20:35Z,25,0x3e5aa082
1788745235,2026-09-07T01:40:35Z,18,0x3e5aa082
1788746435,2026-09-07T02:00:35Z,27,0x3e5aa082
1788747647,2026-09-07T02:20:47Z,17,0x3e5aa082
1788748847,2026-09-07T02:40:47Z,30,0x3e5aa082
1788750047,2026-09-07T03:00:47Z,28,0x3e5aa082
1788751259,2026-09-07T03:20:59Z,24,0x3e5aa082
1788752459,2026-09-07T03:40:59Z,23,0x3e5aa082
1788753671,2026-09-07T04:01:11Z,24,0x917cf8ac
1788754871,2026-09-07T04:21:11Z,18,0x3e5aa082
1788756083,2026-09-07T04:41:23Z,23,0x3e5aa082
1788757283,2026-09-07T05:01:23Z,18,0x3e5aa082
1788758483,2026-09-07T05:21:23Z,15,0x3e5aa082
1788759695,2026-09-07T05:41:35Z,16,0x3e5aa082
1788760907,2026-09-07T06:01:47Z,12,0x3e5aa082
1788762119,2026-09-07T06:21:59Z,13,0x917cf8ac
1788763319,2026-09-07T06:41:59Z,25,0x3e5aa082
1788764519,2026-09-07T07:01:59Z,17,0x3e5aa082
1788765719,2026-09-07T07:21:59Z,17,0x3e5aa082
1788766931,2026-09-07T07:42:11Z,20,0x3e5aa082
1788768143,2026-09-07T08:02:23Z,22,0x3e5aa082
1788769367,2026-09-07T08:22:47Z,18,0x3e5aa082
1788770591,2026-09-07T08:43:11Z,20,0x3e5aa082
1788771815,2026-09-07T09:03:35Z,29,0x3e5aa082
1788773015,2026-09-07T09:23:35Z,13,0x3e5aa082
1788774215,2026-09-07T09:43:35Z,27,0x3e5aa082
1788775427,2026-09-07T10:03:47Z,16,0x3e5aa082
1788776627,2026-09-07T10:23:47Z,14,0x3e5aa082
1788777827,2026-09-07T10:43:47Z,18,0x3e5aa082
1788779039,2026-09-07T11:03:59Z,23,0x3e5aa082
1788780239,2026-09-07T11:23:59Z,21,0x3e5aa082
1788781439,2026-09-07T11:43:59Z,19,0x3e5aa082
1788782651,2026-09-07T12:04:11Z,19,0x3e5aa082
1788783851,2026-09-07T12:24:11Z,17,0x3e5aa082
1788785051,2026-09-07T12:44:11Z,20,0x3e5aa082
1788786251,2026-09-07T13:04:11Z,18,0x3e5aa082
1788787451,2026-09-07T13:24:11Z,20,0x917cf8ac
1788788651,2026-09-07T13:44:11Z,21,0x3e5aa082
1788789851,2026-09-07T14:04:11Z,22,0x3e5aa082
1788791063,2026-09-07T14:24:23Z,28,0x3e5aa082
1788792263,2026-09-07T14:44:23Z,21,0x3e5aa082
1788793463,2026-09-07T15:04:23Z,27,0x3e5aa082
1788794663,2026-09-07T15:24:23Z,42,0x3e5aa082
1788795863,2026-09-07T15:44:23Z,23,0x3e5aa082
1788797063,2026-09-07T16:04:23Z,18,0x3e5aa082
1788798263,2026-09-07T16:24:23Z,16,0x3e5aa082
1788799463,2026-09-07T16:44:23Z,21,0x3e5aa082
1788800675,2026-09-07T17:04:35Z,30,0x3e5aa082
1788801887,2026-09-07T17:24:47Z,27,0x3e5aa082
1788803087,2026-09-07T17:44:47Z,28,0x3e5aa082
1788804287,2026-09-07T18:04:47Z,22,0x3e5aa082
1788805499,2026-09-07T18:24:59Z,21,0x917cf8ac
1788806699,2026-09-07T18:44:59Z,23,0x3e5aa082
1788807899,2026-09-07T19:04:59Z,18,0x3e5aa082
1788809099,2026-09-07T19:24:59Z,14,0x3e5aa082
1788810311,2026-09-07T19:45:11Z,24,0x3e5aa082
1788811511,2026-09-07T20:05:11Z,18,0x3e5aa082
1788812711,2026-09-07T20:25:11Z,20,0x3e5aa082
1788813923,2026-09-07T20:45:23Z,25,0x3e5aa082
1788815123,2026-09-07T21:05:23Z,22,0x3e5aa082
1788816323,2026-09-07T21:25:23Z,17,0x3e5aa082
1788817523,2026-09-07T21:45:23Z,27,0x3e5aa082
1788818735,2026-09-07T22:05:35Z,28,0x3e5aa082
1788819935,2026-09-07T22:25:35Z,52,0x3e5aa082
1788821135,2026-09-07T22:45:35Z,24,0x3e5aa082
1788822335,2026-09-07T23:05:35Z,27,0x3e5aa082
1788823547,2026-09-07T23:25:47Z,22,0x3e5aa082
1788824747,2026-09-07T23:45:47Z,25,0x3e5aa082
1788825947,2026-09-08T00:05:47Z,29,0x3e5aa082
1788827159,2026-09-08T00:25:59Z,17,0x3e5aa082
1788828371,2026-09-08T00:46:11Z,19,0x3e5aa082
1788829583,2026-09-08T01:06:23Z,26,0x3e5aa082
1788830783,2026-09-08T01:26:23Z,21,0x3e5aa082
1788831995,2026-09-08T01:46:35Z,25,0x3e5aa082
1788833207,2026-09-08T02:06:47Z,19,0x3e5aa082
1788834407,2026-09-08T02:26:47Z,19,0x3e5aa082
1788835619,2026-09-08T02:46:59Z,26,0x3e5aa082
1788836831,2026-09-08T03:07:11Z,21,0x3e5aa082
1788838031,2026-09-08T03:27:11Z,12,0x3e5aa082
1788839255,2026-09-08T03:47:35Z,21,0x3e5aa082
1788840455,2026-09-08T04:07:35Z,25,0x917cf8ac
1788841667,2026-09-08T04:27:47Z,20,0x3e5aa082
1788842867,2026-09-08T04:47:47Z,14,0x3e5aa082
1788844091,2026-09-08T05:08:11Z,25,0x3e5aa082
1788845303,2026-09-08T05:28:23Z,16,0x3e5aa082
1788846527,2026-09-08T05:48:47Z,22,0x3e5aa082
1788847727,2026-09-08T06:08:47Z,22,0x3e5aa082
1788848939,2026-09-08T06:28:59Z,17,0x3e5aa082
1788850139,2026-09-08T06:48:59Z,19,0x3e5aa082
1788851351,2026-09-08T07:09:11Z,12,0x3e5aa082
1788852551,2026-09-08T07:29:11Z,10,0x3e5aa082
1788853751,2026-09-08T07:49:11Z,12,0x3e5aa082
1788854951,2026-09-08T08:09:11Z,14,0x3e5aa082
1788856163,2026-09-08T08:29:23Z,13,0x3e5aa082
1788857363,2026-09-08T08:49:23Z,20,0x3e5aa082
1788858575,2026-09-08T09:09:35Z,19,0x3e5aa082
1788859775,2026-09-08T09:29:35Z,17,0x3e5aa082
1788860987,2026-09-08T09:49:47Z,26,0x3e5aa082
1788862187,2026-09-08T10:09:47Z,24,0x3e5aa082
1788863399,2026-09-08T10:29:59Z,24,0x3e5aa082
1788864623,2026-09-08T10:50:23Z,25,0x3e5aa082
1788865835,2026-09-08T11:10:35Z,24,0x3e5aa082
1788867035,2026-09-08T11:30:35Z,21,0x3e5aa082
1788868235,2026-09-08T11:50:35Z,21,0x3e5aa082
1788869435,2026-09-08T12:10:35Z,15,0x3e5aa082
1788870635,2026-09-08T12:30:35Z,18,0x3e5aa082
1788871835,2026-09-08T12:50:35Z,16,0x3e5aa082
1788873035,2026-09-08T13:10:35Z,28,0x3e5aa082
1788874235,2026-09-08T13:30:35Z,25,0x3e5aa082
1788875447,2026-09-08T13:50:47Z,43,0x3e5aa082
1788876647,2026-09-08T14:10:47Z,22,0x3e5aa082
1788877847,2026-09-08T14:30:47Z,21,0x3e5aa082
1788879059,2026-09-08T14:50:59Z,28,0x3e5aa082
1788880259,2026-09-08T15:10:59Z,16,0x3e5aa082
1788881459,2026-09-08T15:30:59Z,25,0x3e5aa082
1788882671,2026-09-08T15:51:11Z,20,0x3e5aa082
1788883871,2026-09-08T16:11:11Z,32,0x3e5aa082
1788885071,2026-09-08T16:31:11Z,39,0x3e5aa082
1788886271,2026-09-08T16:51:11Z,21,0x3e5aa082
1788887471,2026-09-08T17:11:11Z,22,0x3e5aa082
1788888683,2026-09-08T17:31:23Z,21,0x3e5aa082
1788889883,2026-09-08T17:51:23Z,18,0x3e5aa082
1788891083,2026-09-08T18:11:23Z,16,0x3e5aa082
1788892283,2026-09-08T18:31:23Z,45,0x3e5aa082
1788893483,2026-09-08T18:51:23Z,23,0x3e5aa082
1788894683,2026-09-08T19:11:23Z,23,0x3e5aa082
1788895883,2026-09-08T19:31:23Z,27,0x3e5aa082
1788897083,2026-09-08T19:51:23Z,45,0x3e5aa082
1788898283,2026-09-08T20:11:23Z,13,0x3e5aa082
1788899495,2026-09-08T20:31:35Z,36,0x3e5aa082
1788900695,2026-09-08T20:51:35Z,17,0x3e5aa082
1788901907,2026-09-08T21:11:47Z,20,0x3e5aa082
1788903119,2026-09-08T21:31:59Z,24,0x3e5aa082
1788904319,2026-09-08T21:51:59Z,28,0x3e5aa082
1788905531,2026-09-08T22:12:11Z,15,0x3e5aa082
1788906731,2026-09-08T22:32:11Z,15,0x3e5aa082
1788907931,2026-09-08T22:52:11Z,8,0x3e5aa082
1788909143,2026-09-08T23:12:23Z,28,0x3e5aa082
1788910343,2026-09-08T23:32:23Z,18,0x917cf8ac
1788911543,2026-09-08T23:52:23Z,21,0x3e5aa082
1788912755,2026-09-09T00:12:35Z,24,0x3e5aa082
1788913967,2026-09-09T00:32:47Z,17,0x3e5aa082
1788915191,2026-09-09T00:53:11Z,19,0x3e5aa082
1788916391,2026-09-09T01:13:11Z,28,0x3e5aa082
1788917591,2026-09-09T01:33:11Z,17,0x3e5aa082
1788918803,2026-09-09T01:53:23Z,23,0x917cf8ac
1788920027,2026-09-09T02:13:47Z,25,0x3e5aa082
1788921239,2026-09-09T02:33:59Z,22,0x3e5aa082
1788922451,2026-09-09T02:54:11Z,13,0x3e5aa082
1788923651,2026-09-09T03:14:11Z,21,0x3e5aa082
1788924851,2026-09-09T03:34:11Z,19,0x3e5aa082
1788926051,2026-09-09T03:54:11Z,19,0x3e5aa082
1788927251,2026-09-09T04:14:11Z,20,0x3e5aa082
1788928451,2026-09-09T04:34:11Z,23,0x3e5aa082
1788929663,2026-09-09T04:54:23Z,18,0x3e5aa082
1788930887,2026-09-09T05:14:47Z,24,0x3e5aa082
1788932087,2026-09-09T05:34:47Z,18,0x3e5aa082
1788933299,2026-09-09T05:54:59Z,16,0x3e5aa082
1788934511,2026-09-09T06:15:11Z,17,0x3e5aa082
1788935711,2026-09-09T06:35:11Z,14,0x3e5aa082
1788936911,2026-09-09T06:55:11Z,33,0x3e5aa082
1788938123,2026-09-09T07:15:23Z,40,0x3e5aa082
1788939347,2026-09-09T07:35:47Z,18,0x3e5aa082
