l1_timestamp,l1_time_utc,posting_delay_newest_s,messages_in_batch,batch_sequence,max_fee_per_blob_gas_wei,max_fee_per_gas_wei,blobs,nonce
1788548423,2026-09-04T19:00:23Z,297,153,,,,3,192666
1788548555,2026-09-04T19:02:35Z,320,126,,,,3,192675
1788548687,2026-09-04T19:04:47Z,294,144,,,,3,192687
1788548807,2026-09-04T19:06:47Z,287,130,,,,3,192696
1788548939,2026-09-04T19:08:59Z,296,127,,,,3,192706
1788549071,2026-09-04T19:11:11Z,285,120,,,,3,192717
1788549191,2026-09-04T19:13:11Z,273,131,,,,3,192728
1788549311,2026-09-04T19:15:11Z,289,119,,,,3,192736
1788549443,2026-09-04T19:17:23Z,281,113,,,,3,192748
1788549563,2026-09-04T19:19:23Z,270,122,,,,3,192759
1788549695,2026-09-04T19:21:35Z,295,143,,,,3,192767
1788549815,2026-09-04T19:23:35Z,288,122,,,,3,192777
1788549935,2026-09-04T19:25:35Z,255,127,,,,3,192790
1788550055,2026-09-04T19:27:35Z,267,146,,,,3,192797
1788550175,2026-09-04T19:29:35Z,293,127,,,,3,192804
1788550307,2026-09-04T19:31:47Z,304,151,,,,3,192812
1788550427,2026-09-04T19:33:47Z,306,145,,,,3,192821
1788550547,2026-09-04T19:35:47Z,287,105,,,,3,192832
1788550667,2026-09-04T19:37:47Z,279,128,,,,3,192842
1788550787,2026-09-04T19:39:47Z,272,162,,,,3,192852
1788550907,2026-09-04T19:41:47Z,287,118,,,,3,192861
1788551039,2026-09-04T19:43:59Z,244,164,,,,3,192876
1788551159,2026-09-04T19:45:59Z,234,117,,,,3,192886
1788551279,2026-09-04T19:47:59Z,245,95,,,,3,192895
1788551411,2026-09-04T19:50:11Z,238,99,,,,3,192910
1788551531,2026-09-04T19:52:11Z,228,105,,,,3,192922
1788551651,2026-09-04T19:54:11Z,263,80,,,,3,192930
1788551771,2026-09-04T19:56:11Z,229,94,,,,3,192946
1788551891,2026-09-04T19:58:11Z,232,109,,,,3,192958
1788552023,2026-09-04T20:00:23Z,252,112,,,,3,192968
1788552143,2026-09-04T20:02:23Z,274,93,,,,3,192977
1788552263,2026-09-04T20:04:23Z,247,77,,,,3,192993
1788552383,2026-09-04T20:06:23Z,228,91,,,,3,193009
1788552503,2026-09-04T20:08:23Z,238,105,,,,3,193019
1788552623,2026-09-04T20:10:23Z,219,128,,,,3,193030
1788552743,2026-09-04T20:12:23Z,191,139,,,,3,193041
1788552863,2026-09-04T20:14:23Z,161,150,,,,3,193052
1788552995,2026-09-04T20:16:35Z,147,107,,,,3,193064
1788553115,2026-09-04T20:18:35Z,143,117,,,,3,193076
1788553235,2026-09-04T20:20:35Z,122,130,,,,3,193087
1788553355,2026-09-04T20:22:35Z,71,154,,,,3,193098
1788553487,2026-09-04T20:24:47Z,23,276,,,,3,193108
1788553607,2026-09-04T20:26:47Z,24,120,,,,3,193118
1788553727,2026-09-04T20:28:47Z,31,148,,,,3,193126
1788553847,2026-09-04T20:30:47Z,26,127,,,,3,193136
1788553967,2026-09-04T20:32:47Z,21,125,,,,3,193146
1788554087,2026-09-04T20:34:47Z,30,134,,,,3,193155
1788554207,2026-09-04T20:36:47Z,19,97,,,,3,193166
1788554327,2026-09-04T20:38:47Z,28,133,,,,3,193175
1788554447,2026-09-04T20:40:47Z,27,131,,,,3,193184
1788554567,2026-09-04T20:42:47Z,41,125,,,,3,193192
1788554699,2026-09-04T20:44:59Z,20,171,,,,3,193202
1788554819,2026-09-04T20:46:59Z,24,120,,,,3,193211
1788554939,2026-09-04T20:48:59Z,18,156,,,,3,193221
1788555059,2026-09-04T20:50:59Z,28,148,,,,3,193229
1788555179,2026-09-04T20:52:59Z,24,118,,,,3,193239
1788555311,2026-09-04T20:55:11Z,27,149,,,,3,193249
1788555443,2026-09-04T20:57:23Z,32,142,,,,3,193258
1788555563,2026-09-04T20:59:23Z,23,113,,,,3,193268
1788555683,2026-09-04T21:01:23Z,22,115,,,,3,193279
1788555803,2026-09-04T21:03:23Z,27,125,,,,3,193289
1788555935,2026-09-04T21:05:35Z,30,120,,,,3,193299
1788556055,2026-09-04T21:07:35Z,28,110,,,,3,193309
1788556175,2026-09-04T21:09:35Z,30,101,,,,3,193319
1788556295,2026-09-04T21:11:35Z,27,95,,,,3,193331
1788556415,2026-09-04T21:13:35Z,25,105,,,,3,193342
1788556535,2026-09-04T21:15:35Z,22,141,,,,3,193352
1788556667,2026-09-04T21:17:47Z,23,137,,,,3,193362
1788556787,2026-09-04T21:19:47Z,45,99,,,,3,193370
1788556907,2026-09-04T21:21:47Z,51,125,,,,3,193379
1788557027,2026-09-04T21:23:47Z,22,128,,,,3,193391
1788557171,2026-09-04T21:26:11Z,42,127,,,,3,193401
1788557291,2026-09-04T21:28:11Z,23,131,,,,3,193411
1788557411,2026-09-04T21:30:11Z,20,113,,,,3,193421
1788557531,2026-09-04T21:32:11Z,23,108,,,,3,193431
1788557651,2026-09-04T21:34:11Z,23,125,,,,3,193441
1788557783,2026-09-04T21:36:23Z,36,119,,,,3,193451
1788557903,2026-09-04T21:38:23Z,21,95,,,,3,193463
1788558023,2026-09-04T21:40:23Z,28,122,,,,3,193473
1788558143,2026-09-04T21:42:23Z,23,123,,,,3,193483
1788558263,2026-09-04T21:44:23Z,29,98,,,,3,193493
1788558383,2026-09-04T21:46:23Z,20,121,,,,3,193505
1788558503,2026-09-04T21:48:23Z,27,108,,,,3,193514
1788558623,2026-09-04T21:50:23Z,17,103,,,,3,193526
1788558743,2026-09-04T21:52:23Z,27,107,,,,3,193536
1788558875,2026-09-04T21:54:35Z,30,112,,,,3,193548
1788558995,2026-09-04T21:56:35Z,23,109,,,,3,193560
1788559115,2026-09-04T21:58:35Z,26,123,,,,3,193570
1788559235,2026-09-04T22:00:35Z,33,161,,,,3,193579
1788559355,2026-09-04T22:02:35Z,30,127,,,,3,193591
1788559475,2026-09-04T22:04:35Z,29,107,,,,3,193601
1788559595,2026-09-04T22:06:35Z,20,111,,,,3,193613
1788559715,2026-09-04T22:08:35Z,26,129,,,,3,193622
1788559835,2026-09-04T22:10:35Z,22,125,,,,3,193632
1788559955,2026-09-04T22:12:35Z,23,115,,,,3,193642
1788560075,2026-09-04T22:14:35Z,22,116,,,,3,193652
1788560207,2026-09-04T22:16:47Z,24,145,,,,3,193662
1788560327,2026-09-04T22:18:47Z,24,131,,,,3,193670
1788560447,2026-09-04T22:20:47Z,31,141,,,,3,193678
1788560567,2026-09-04T22:22:47Z,23,130,,,,3,193688
1788560687,2026-09-04T22:24:47Z,25,98,,,,3,193698
1788560807,2026-09-04T22:26:47Z,25,83,,,,3,193710
1788560927,2026-09-04T22:28:47Z,20,144,,,,3,193720
1788561047,2026-09-04T22:30:47Z,22,134,,,,3,193729
1788561167,2026-09-04T22:32:47Z,17,129,,,,3,193739
1788561287,2026-09-04T22:34:47Z,26,167,,,,3,193747
1788561407,2026-09-04T22:36:47Z,31,96,,,,3,193757
1788561527,2026-09-04T22:38:47Z,27,102,,,,3,193768
1788561647,2026-09-04T22:40:47Z,24,127,,,,3,193778
1788561767,2026-09-04T22:42:47Z,22,123,,,,3,193788
