day,block,timestamp,time_utc,gas_used,user_tx_count
2026-09-03,53363860,1788433034,2026-09-03T10:57:14Z,3461741,16
2026-09-03,53363890,1788433037,2026-09-03T10:57:17Z,908057,11
2026-09-03,53363920,1788433040,2026-09-03T10:57:20Z,2320738,4
2026-09-03,53363950,1788433043,2026-09-03T10:57:23Z,2102540,6
2026-09-03,53363980,1788433046,2026-09-03T10:57:26Z,754509,6
2026-09-03,53364010,1788433049,2026-09-03T10:57:29Z,2532993,6
2026-09-03,53364040,1788433052,2026-09-03T10:57:32Z,4080720,6
2026-09-03,53364070,1788433055,2026-09-03T10:57:35Z,2206722,9
2026-09-03,53364100,1788433059,2026-09-03T10:57:39Z,1417191,3
2026-09-03,53364130,1788433062,2026-09-03T10:57:42Z,706495,3
2026-09-03,53364160,1788433065,2026-09-03T10:57:45Z,1932836,9
2026-09-03,53364190,1788433068,2026-09-03T10:57:48Z,346873,3
2026-09-03,53364220,1788433071,2026-09-03T10:57:51Z,2133038,5
2026-09-03,53364250,1788433074,2026-09-03T10:57:54Z,1924120,7
2026-09-03,53364280,1788433077,2026-09-03T10:57:57Z,657331,6
2026-09-03,53364310,1788433080,2026-09-03T10:58:00Z,1163672,7
2026-09-03,53364340,1788433083,2026-09-03T10:58:03Z,2686969,6
2026-09-03,53364370,1788433086,2026-09-03T10:58:06Z,500475,4
2026-09-03,53364400,1788433089,2026-09-03T10:58:09Z,524485,4
2026-09-03,53364430,1788433092,2026-09-03T10:58:12Z,1774347,4
2026-09-03,53364460,1788433095,2026-09-03T10:58:15Z,257605,2
2026-09-03,53364490,1788433098,2026-09-03T10:58:18Z,48941,1
2026-09-03,53364520,1788433101,2026-09-03T10:58:21Z,594631,2
2026-09-03,53364550,1788433104,2026-09-03T10:58:24Z,1410394,5
2026-09-03,53364580,1788433107,2026-09-03T10:58:27Z,1258377,3
2026-09-03,53364610,1788433110,2026-09-03T10:58:30Z,1125598,7
2026-09-03,53364640,1788433113,2026-09-03T10:58:33Z,1521264,10
2026-09-03,53364670,1788433117,2026-09-03T10:58:37Z,3353326,14
2026-09-03,53364700,1788433120,2026-09-03T10:58:40Z,825408,4
2026-09-03,53364730,1788433123,2026-09-03T10:58:43Z,1219498,10
2026-09-03,53364760,1788433126,2026-09-03T10:58:46Z,1849017,11
2026-09-03,53364790,1788433129,2026-09-03T10:58:49Z,4149426,7
2026-09-03,53364820,1788433132,2026-09-03T10:58:52Z,1942313,8
2026-09-03,53364850,1788433135,2026-09-03T10:58:55Z,2060498,9
2026-09-03,53364880,1788433138,2026-09-03T10:58:58Z,1050031,8
2026-09-03,53364910,1788433141,2026-09-03T10:59:01Z,1663738,4
2026-09-03,53364940,1788433144,2026-09-03T10:59:04Z,1185943,6
2026-09-03,53364970,1788433147,2026-09-03T10:59:07Z,681086,3
2026-09-03,53365000,1788433150,2026-09-03T10:59:10Z,5137975,17
2026-09-03,53365030,1788433153,2026-09-03T10:59:13Z,3579479,9
2026-09-03,53365060,1788433156,2026-09-03T10:59:16Z,6591640,8
2026-09-03,53365090,1788433159,2026-09-03T10:59:19Z,529695,2
2026-09-03,53365120,1788433163,2026-09-03T10:59:23Z,1713144,6
2026-09-03,53365150,1788433166,2026-09-03T10:59:26Z,1412722,10
2026-09-03,53365180,1788433169,2026-09-03T10:59:29Z,1395857,7
2026-09-03,53365210,1788433172,2026-09-03T10:59:32Z,172643,2
2026-09-03,53365240,1788433175,2026-09-03T10:59:35Z,1904470,6
2026-09-03,53365270,1788433178,2026-09-03T10:59:38Z,3630409,13
2026-09-03,53365300,1788433181,2026-09-03T10:59:41Z,4525380,5
2026-09-03,53365330,1788433184,2026-09-03T10:59:44Z,2914762,8
2026-09-03,53365360,1788433187,2026-09-03T10:59:47Z,3505738,10
2026-09-03,53365390,1788433190,2026-09-03T10:59:50Z,1379406,5
2026-09-03,53365420,1788433193,2026-09-03T10:59:53Z,4514050,9
2026-09-03,53365450,1788433196,2026-09-03T10:59:56Z,1594672,8
2026-09-03,53365480,1788433200,2026-09-03T11:00:00Z,17226135,606
2026-09-03,53365510,1788433203,2026-09-03T11:00:03Z,4112602,9
2026-09-03,53365540,1788433206,2026-09-03T11:00:06Z,1448455,4
2026-09-03,53365570,1788433209,2026-09-03T11:00:09Z,2230584,7
2026-09-03,53365600,1788433212,2026-09-03T11:00:12Z,2902177,7
2026-09-03,53365630,1788433215,2026-09-03T11:00:15Z,2464540,6
2026-09-03,53365660,1788433218,2026-09-03T11:00:18Z,1163185,3
2026-09-03,53365690,1788433222,2026-09-03T11:00:22Z,6288276,14
2026-09-03,53365720,1788433225,2026-09-03T11:00:25Z,4656978,7
2026-09-03,53365750,1788433228,2026-09-03T11:00:28Z,2645368,11
2026-09-03,53365780,1788433231,2026-09-03T11:00:31Z,2665698,10
2026-09-03,53365810,1788433234,2026-09-03T11:00:34Z,1625223,4
2026-09-03,53365840,1788433237,2026-09-03T11:00:37Z,2427765,8
2026-09-03,53365870,1788433240,2026-09-03T11:00:40Z,647973,5
2026-09-03,53365900,1788433243,2026-09-03T11:00:43Z,1725970,8
2026-09-03,53365930,1788433246,2026-09-03T11:00:46Z,603939,2
2026-09-03,53365960,1788433249,2026-09-03T11:00:49Z,913554,2
2026-09-03,53365990,1788433252,2026-09-03T11:00:52Z,3376707,9
2026-09-03,53366020,1788433255,2026-09-03T11:00:55Z,725645,3
2026-09-03,53366050,1788433259,2026-09-03T11:00:59Z,2715307,12
2026-09-03,53366080,1788433262,2026-09-03T11:01:02Z,2613247,4
2026-09-03,53366110,1788433265,2026-09-03T11:01:05Z,1772857,3
2026-09-03,53366140,1788433268,2026-09-03T11:01:08Z,756995,5
2026-09-03,53366170,1788433271,2026-09-03T11:01:11Z,2721968,7
2026-09-03,53366200,1788433274,2026-09-03T11:01:14Z,1571155,6
2026-09-03,53366230,1788433277,2026-09-03T11:01:17Z,4803461,7
2026-09-03,53366260,1788433280,2026-09-03T11:01:20Z,883695,6
2026-09-03,53366290,1788433283,2026-09-03T11:01:23Z,1787844,5
2026-09-03,53366320,1788433286,2026-09-03T11:01:26Z,1782961,5
2026-09-03,53366350,1788433289,2026-09-03T11:01:29Z,849419,4
2026-09-03,53366380,1788433292,2026-09-03T11:01:32Z,800071,5
2026-09-03,53366410,1788433295,2026-09-03T11:01:35Z,1137017,8
2026-09-03,53366440,1788433299,2026-09-03T11:01:39Z,995464,3
2026-09-03,53366470,1788433302,2026-09-03T11:01:42Z,10400086,12
2026-09-03,53366500,1788433305,2026-09-03T11:01:45Z,2161948,9
2026-09-03,53366530,1788433308,2026-09-03T11:01:48Z,3129806,11
2026-09-03,53366560,1788433311,2026-09-03T11:01:51Z,1235541,5
2026-09-03,53366590,1788433314,2026-09-03T11:01:54Z,3664331,9
2026-09-03,53366620,1788433317,2026-09-03T11:01:57Z,1066602,5
2026-09-03,53366650,1788433320,2026-09-03T11:02:00Z,3819920,7
2026-09-03,53366680,1788433323,2026-09-03T11:02:03Z,3075646,3
2026-09-03,53366710,1788433326,2026-09-03T11:02:06Z,1597681,8
2026-09-03,53366740,1788433330,2026-09-03T11:02:10Z,2958680,8
2026-09-03,53366770,1788433333,2026-09-03T11:02:13Z,4065645,28
2026-09-03,53366800,1788433336,2026-09-03T11:02:16Z,3741085,4
2026-09-03,53366830,1788433339,2026-09-03T11:02:19Z,6231557,12
2026-09-03,53366860,1788433342,2026-09-03T11:02:22Z,337404,2
2026-09-03,53366890,1788433345,2026-09-03T11:02:25Z,1973043,6
2026-09-03,53366920,1788433348,2026-09-03T11:02:28Z,6210294,12
2026-09-03,53366950,1788433351,2026-09-03T11:02:31Z,2159459,9
2026-09-03,53366980,1788433354,2026-09-03T11:02:34Z,3898337,14
2026-09-03,53367010,1788433357,2026-09-03T11:02:37Z,4039750,8
2026-09-03,53367040,1788433360,2026-09-03T11:02:40Z,1099218,4
2026-09-03,53367070,1788433363,2026-09-03T11:02:43Z,6331479,9
2026-09-03,53367100,1788433366,2026-09-03T11:02:46Z,818638,3
2026-09-03,53367130,1788433369,2026-09-03T11:02:49Z,2897029,8
2026-09-03,53367160,1788433373,2026-09-03T11:02:53Z,3165178,17
2026-09-03,53367190,1788433376,2026-09-03T11:02:56Z,8104416,25
2026-09-03,53367220,1788433379,2026-09-03T11:02:59Z,546441,3
2026-09-03,53367250,1788433382,2026-09-03T11:03:02Z,5780261,6
2026-09-03,53367280,1788433385,2026-09-03T11:03:05Z,171888,2
2026-09-03,53367310,1788433388,2026-09-03T11:03:08Z,3683030,9
2026-09-03,53367340,1788433390,2026-09-03T11:03:10Z,0,1
2026-09-03,53367370,1788433392,2026-09-03T11:03:12Z,7673018,15
2026-09-03,53367400,1788433395,2026-09-03T11:03:15Z,2669936,5
2026-09-03,53367430,1788433399,2026-09-03T11:03:19Z,4757741,19
2026-09-03,53367460,1788433402,2026-09-03T11:03:22Z,3629411,11
2026-09-03,53367490,1788433405,2026-09-03T11:03:25Z,518387,2
2026-09-03,53367520,1788433408,2026-09-03T11:03:28Z,2479805,5
2026-09-03,53367550,1788433411,2026-09-03T11:03:31Z,1486272,5
2026-09-03,53367580,1788433414,2026-09-03T11:03:34Z,1974044,13
2026-09-03,53367610,1788433417,2026-09-03T11:03:37Z,2297666,7
2026-09-03,53367640,1788433420,2026-09-03T11:03:40Z,2957942,7
2026-09-03,53367670,1788433423,2026-09-03T11:03:43Z,1377870,7
2026-09-03,53367700,1788433427,2026-09-03T11:03:47Z,489992,3
2026-09-03,53367730,1788433430,2026-09-03T11:03:50Z,3468485,10
2026-09-03,53367760,1788433433,2026-09-03T11:03:53Z,814610,4
2026-09-03,53367790,1788433436,2026-09-03T11:03:56Z,3877063,14
2026-09-03,53367820,1788433439,2026-09-03T11:03:59Z,1082294,4
2026-09-03,53367850,1788433442,2026-09-03T11:04:02Z,1127238,3
2026-09-03,53367880,1788433445,2026-09-03T11:04:05Z,308482,3
2026-09-03,53367910,1788433448,2026-09-03T11:04:08Z,3300831,9
2026-09-03,53367940,1788433451,2026-09-03T11:04:11Z,6500488,12
2026-09-03,53367970,1788433455,2026-09-03T11:04:15Z,2018793,7
2026-09-03,53368000,1788433458,2026-09-03T11:04:18Z,1195862,10
2026-09-03,53368030,1788433462,2026-09-03T11:04:22Z,948600,7
2026-09-03,53368060,1788433465,2026-09-03T11:04:25Z,1395564,11
2026-09-03,53368090,1788433468,2026-09-03T11:04:28Z,3005080,8
2026-09-03,53368120,1788433471,2026-09-03T11:04:31Z,2218174,7
2026-09-03,53368150,1788433474,2026-09-03T11:04:34Z,2542130,10
2026-09-03,53368180,1788433477,2026-09-03T11:04:37Z,480827,4
2026-09-03,53368210,1788433480,2026-09-03T11:04:40Z,990781,3
2026-09-03,53368240,1788433483,2026-09-03T11:04:43Z,1730614,8
2026-09-03,53368270,1788433486,2026-09-03T11:04:46Z,2905509,8
2026-09-03,53368300,1788433489,2026-09-03T11:04:49Z,3091224,7
2026-09-03,53368330,1788433492,2026-09-03T11:04:52Z,3343828,12
2026-09-03,53368360,1788433495,2026-09-03T11:04:55Z,1966293,7
2026-09-03,53368390,1788433499,2026-09-03T11:04:59Z,1699552,5
2026-09-03,53368420,1788433502,2026-09-03T11:05:02Z,3661373,12
2026-09-03,53368450,1788433505,2026-09-03T11:05:05Z,1482141,9
2026-09-03,53368480,1788433508,2026-09-03T11:05:08Z,2125741,8
2026-09-03,53368510,1788433511,2026-09-03T11:05:11Z,3274793,7
2026-09-03,53368540,1788433514,2026-09-03T11:05:14Z,1892824,9
2026-09-03,53368570,1788433517,2026-09-03T11:05:17Z,2658370,16
2026-09-03,53368600,1788433520,2026-09-03T11:05:20Z,4283257,12
2026-09-03,53368630,1788433523,2026-09-03T11:05:23Z,1865219,5
2026-09-03,53368660,1788433526,2026-09-03T11:05:26Z,4998233,8
2026-09-03,53368690,1788433530,2026-09-03T11:05:30Z,5204451,37
2026-09-03,53368720,1788433533,2026-09-03T11:05:33Z,1313928,4
2026-09-03,53368750,1788433536,2026-09-03T11:05:36Z,2058581,21
2026-09-03,53368780,1788433539,2026-09-03T11:05:39Z,1065720,7
2026-09-03,53368810,1788433542,2026-09-03T11:05:42Z,327725,5
2026-09-03,53368840,1788433545,2026-09-03T11:05:45Z,1360024,5
2026-09-03,53368870,1788433548,2026-09-03T11:05:48Z,448235,5
2026-09-03,53368900,1788433551,2026-09-03T11:05:51Z,1773033,9
2026-09-03,53368930,1788433554,2026-09-03T11:05:54Z,4501498,22
2026-09-03,53368960,1788433557,2026-09-03T11:05:57Z,1325031,6
2026-09-03,53368990,1788433560,2026-09-03T11:06:00Z,2289476,8
2026-09-03,53369020,1788433563,2026-09-03T11:06:03Z,4995024,11
2026-09-03,53369050,1788433566,2026-09-03T11:06:06Z,1555585,7
2026-09-03,53369080,1788433570,2026-09-03T11:06:10Z,2330346,10
2026-09-03,53369110,1788433573,2026-09-03T11:06:13Z,345167,2
2026-09-03,53369140,1788433576,2026-09-03T11:06:16Z,2631885,10
2026-09-03,53369170,1788433579,2026-09-03T11:06:19Z,1502663,5
2026-09-03,53369200,1788433582,2026-09-03T11:06:22Z,10203759,19
2026-09-03,53369230,1788433585,2026-09-03T11:06:25Z,2229476,6
2026-09-03,53369260,1788433588,2026-09-03T11:06:28Z,7366979,14
2026-09-03,53369290,1788433591,2026-09-03T11:06:31Z,3448350,10
2026-09-03,53369320,1788433594,2026-09-03T11:06:34Z,1755929,9
